Order ID,Order Date,CustomerName,State,City
K-12607,"Saturday, 18 May 2024",Adhiambo,Kisumu,Mamboleo
K-45360,"Friday, 05 July 2024",Kipchoge,Kajiado,Kiserian
K-94129,"Monday, 25 September 2023",Mutuku,Nairobi,Karen
K-86351,"Friday, 06 September 2024",Gitonga,Kilifi,Mariakani
K-11516,"Wednesday, 11 October 2023",Ruto,Uasin Gishu,Moiben
K-31927,"Wednesday, 26 July 2023",Njoroge,Kilifi,Watamu
K-45810,"Tuesday, 23 January 2024",Mutiso,Kisumu,Milimani
K-22181,"Tuesday, 14 November 2023",Akinyi,Kisumu,Milimani
K-75983,"Wednesday, 29 November 2023",Mwangi,Uasin Gishu,Ziwa
K-37437,"Thursday, 13 April 2023",Wanyama,Kilifi,Mariakani
K-65524,"Sunday, 07 April 2024",Karanja,Kilifi,Malindi
K-52424,"Thursday, 23 January 2025",Kibet,Kisumu,Milimani
K-21286,"Thursday, 21 November 2024",Ndegwa,Kiambu,Thika
K-31127,"Friday, 22 November 2024",Kavita,Machakos,Athi River
K-75022,"Saturday, 08 March 2025",Wanjiku,Mombasa,Nyali
K-13235,"Thursday, 29 June 2023",Kosgei,Uasin Gishu,Turbo
K-31058,"Tuesday, 12 March 2024",Kipkorir,Kajiado,Kajiado Town
K-62128,"Tuesday, 07 January 2025",Otieno,Kiambu,Kikuyu
K-93739,"Tuesday, 19 March 2024",Mutuku,Kisumu,Mamboleo
K-85984,"Tuesday, 25 April 2023",Kibet,Nyeri,Karatina
K-46532,"Friday, 30 August 2024",Kibet,Kiambu,Limuru
K-12405,"Wednesday, 29 May 2024",Kiprop,Nakuru,Naka
K-43671,"Tuesday, 07 January 2025",Wangari,Nakuru,Naka
K-47711,"Friday, 27 October 2023",Mutiso,Machakos,Matuu
K-85085,"Saturday, 09 November 2024",Kosgei,Nairobi,Westlands
K-54295,"Tuesday, 12 November 2024",Otieno,Mombasa,Bamburi
K-18392,"Saturday, 05 October 2024",Auma,Kiambu,Kiambu Town
K-97264,"Saturday, 06 April 2024",Cherotich,Kisumu,Kondele
K-51639,"Sunday, 20 August 2023",Akinyi,Machakos,Athi River
K-92496,"Tuesday, 24 September 2024",Naliaka,Kajiado,Kiserian
K-11014,"Thursday, 01 August 2024",Wambui,Kiambu,Kiambu Town
K-63196,"Tuesday, 10 December 2024",Mohammed,Machakos,Kathiani
K-23331,"Saturday, 22 April 2023",Mohammed,Kisumu,Kondele
K-94091,"Friday, 02 February 2024",Nyawira,Uasin Gishu,Turbo
K-89916,"Saturday, 12 August 2023",Kariuki,Kajiado,Ngong
K-16796,"Thursday, 09 November 2023",Maina,Nyeri,Othaya
K-99225,"Tuesday, 12 September 2023",Cherotich,Uasin Gishu,Turbo
K-17947,"Thursday, 02 November 2023",Nyawira,Nyeri,Naro Moru
K-92758,"Sunday, 14 January 2024",Karanja,Kajiado,Ngong
K-42014,"Thursday, 31 October 2024",Kosgei,Nyeri,Othaya
K-59072,"Saturday, 10 June 2023",Chepkoech,Uasin Gishu,Eldoret
K-13238,"Thursday, 07 November 2024",Wanyama,Kisumu,Nyalenda
K-33806,"Friday, 25 October 2024",Kamau,Machakos,Matuu
K-60809,"Friday, 18 August 2023",Onyango,Nairobi,Eastleigh
K-29333,"Friday, 21 March 2025",Ndegwa,Uasin Gishu,Eldoret
K-48659,"Wednesday, 30 August 2023",Mutiso,Kiambu,Limuru
K-58706,"Thursday, 18 January 2024",Wanjiku,Mombasa,Mombasa Island
K-32253,"Monday, 01 January 2024",Adhiambo,Machakos,Kangundo
K-10269,"Friday, 05 July 2024",Ali,Kisumu,Mamboleo
K-53680,"Wednesday, 10 May 2023",Kibet,Kisumu,Milimani
K-94498,"Monday, 03 June 2024",Onyango,Nakuru,Lanet
K-73073,"Wednesday, 28 June 2023",Naliaka,Nairobi,Karen
K-50155,"Friday, 09 February 2024",Mutua,Uasin Gishu,Turbo
K-91017,"Wednesday, 08 November 2023",Onyango,Kiambu,Kikuyu
K-31380,"Sunday, 08 September 2024",Chepkoech,Mombasa,Bamburi
K-43058,"Monday, 24 July 2023",Muthoni,Machakos,Kathiani
K-72182,"Monday, 25 November 2024",Karanja,Nyeri,Nyeri Town
K-14924,"Friday, 28 June 2024",Chepkoech,Nairobi,Kasarani
K-37816,"Sunday, 17 November 2024",Wanjiku,Kiambu,Ruiru
K-52430,"Monday, 08 May 2023",Njoroge,Kiambu,Kikuyu
K-20308,"Tuesday, 05 September 2023",Wanyama,Kajiado,Kiserian
K-84753,"Wednesday, 25 October 2023",Kosgei,Kisumu,Mamboleo
K-10854,"Sunday, 07 April 2024",Naliaka,Nairobi,Kasarani
K-17031,"Wednesday, 03 May 2023",Kosgei,Nakuru,Nakuru CBD
K-54260,"Tuesday, 27 August 2024",Mwangi,Kajiado,Kajiado Town
K-58846,"Wednesday, 12 April 2023",Owino,Mombasa,Shanzu
K-37576,"Wednesday, 07 June 2023",Otieno,Nakuru,Milimani
K-92537,"Sunday, 12 May 2024",Mwangi,Kajiado,Ongata Rongai
K-47070,"Thursday, 01 February 2024",Auma,Kajiado,Kajiado Town
K-63180,"Tuesday, 02 January 2024",Wafula,Kiambu,Thika
K-11315,"Tuesday, 27 June 2023",Okoth,Uasin Gishu,Moiben
K-13334,"Tuesday, 17 September 2024",Omondi,Machakos,Kangundo
K-53799,"Monday, 15 January 2024",Nyambura,Kilifi,Malindi
K-63770,"Monday, 27 May 2024",Wanyama,Machakos,Matuu
K-75791,"Wednesday, 10 January 2024",Mutuku,Nakuru,Naka
K-66790,"Wednesday, 29 January 2025",Ngugi,Mombasa,Nyali
K-30567,"Saturday, 29 July 2023",Mutuku,Kajiado,Kitengela
K-35161,"Tuesday, 18 July 2023",Ali,Kajiado,Kitengela
K-62978,"Monday, 04 September 2023",Akinyi,Nairobi,Kasarani
K-99374,"Friday, 02 June 2023",Muthoni,Machakos,Kathiani
K-32807,"Thursday, 25 July 2024",Chepkoech,Mombasa,Shanzu
K-84530,"Friday, 19 July 2024",Karanja,Nyeri,Karatina
K-66997,"Monday, 22 July 2024",Kavita,Uasin Gishu,Eldoret
K-73955,"Monday, 10 March 2025",Wangari,Nakuru,Nakuru CBD
K-16089,"Monday, 05 June 2023",Muthoni,Uasin Gishu,Ziwa
K-36569,"Tuesday, 21 January 2025",Ngugi,Nyeri,Mweiga
K-46718,"Friday, 23 June 2023",Okoth,Kisumu,Milimani
K-36866,"Monday, 11 September 2023",Chepkoech,Uasin Gishu,Moiben
K-43302,"Monday, 06 January 2025",Otieno,Kilifi,Kilifi Town
K-50846,"Saturday, 20 May 2023",Mutiso,Kajiado,Ngong
K-59940,"Monday, 12 June 2023",Auma,Kilifi,Malindi
K-61247,"Sunday, 24 September 2023",Wanjiku,Machakos,Kangundo
K-63729,"Tuesday, 26 March 2024",Ndungu,Kisumu,Kisumu CBD
K-94072,"Tuesday, 21 November 2023",Ndegwa,Kajiado,Kajiado Town
K-72135,"Friday, 29 November 2024",Kipkorir,Nyeri,Mweiga
K-33043,"Friday, 23 February 2024",Owino,Mombasa,Nyali
K-40007,"Tuesday, 25 March 2025",Auma,Kajiado,Kitengela
K-69125,"Friday, 04 August 2023",Mwangi,Kajiado,Ngong
K-19034,"Saturday, 28 October 2023",Akinyi,Kajiado,Kitengela
K-88073,"Thursday, 13 February 2025",Kipkorir,Mombasa,Bamburi
K-81252,"Saturday, 03 February 2024",Auma,Nairobi,Nairobi CBD
K-52081,"Tuesday, 28 November 2023",Waithaka,Kilifi,Mtwapa
K-93468,"Friday, 21 July 2023",Wanyama,Kiambu,Ruiru
K-86033,"Sunday, 08 December 2024",Mwangi,Machakos,Machakos Town
K-65557,"Friday, 19 July 2024",Kimani,Kisumu,Milimani
K-60704,"Monday, 28 August 2023",Waithaka,Uasin Gishu,Moiben
K-79837,"Friday, 24 January 2025",Maina,Kajiado,Ngong
K-40284,"Tuesday, 03 December 2024",Kipchoge,Kilifi,Mariakani
K-87669,"Wednesday, 06 September 2023",Okoth,Kisumu,Mamboleo
K-11257,"Wednesday, 24 April 2024",Nyambura,Nairobi,Nairobi CBD
K-46678,"Friday, 01 September 2023",Mutua,Kajiado,Kiserian
K-40699,"Wednesday, 29 May 2024",Mutuku,Machakos,Machakos Town
K-48375,"Tuesday, 04 April 2023",Karanja,Kiambu,Thika
K-63165,"Monday, 19 February 2024",Kiprop,Kisumu,Milimani
K-27616,"Thursday, 04 January 2024",Kimutai,Machakos,Kangundo
K-25153,"Thursday, 17 October 2024",Okoth,Nakuru,Lanet
K-50745,"Thursday, 23 November 2023",Kimani,Kilifi,Mtwapa
K-85316,"Sunday, 03 March 2024",Odhiambo,Kiambu,Limuru
K-37976,"Monday, 08 May 2023",Kipchoge,Kilifi,Watamu
K-64610,"Monday, 14 August 2023",Mutuku,Machakos,Athi River
K-39942,"Thursday, 27 June 2024",Mutiso,Kilifi,Watamu
K-91425,"Thursday, 10 October 2024",Wambui,Kilifi,Mariakani
K-56455,"Friday, 08 November 2024",Muthoni,Machakos,Matuu
K-46393,"Wednesday, 21 June 2023",Odhiambo,Nakuru,Lanet
K-53201,"Sunday, 23 February 2025",Nyawira,Kisumu,Mamboleo
K-94427,"Monday, 08 May 2023",Mwangi,Kilifi,Mariakani
K-30074,"Thursday, 12 October 2023",Chebet,Mombasa,Shanzu
K-15093,"Friday, 07 February 2025",Gathoni,Kajiado,Ongata Rongai
K-73842,"Wednesday, 10 January 2024",Wanjiru,Nairobi,Eastleigh
K-61669,"Monday, 25 November 2024",Mutua,Nyeri,Nyeri Town
K-67543,"Sunday, 11 August 2024",Wanyama,Machakos,Athi River
K-51952,"Friday, 08 March 2024",Wekesa,Mombasa,Mombasa Island
K-93323,"Saturday, 03 February 2024",Otieno,Nyeri,Nyeri Town
K-37516,"Monday, 01 July 2024",Maina,Kisumu,Nyalenda
K-30948,"Wednesday, 19 April 2023",Omondi,Mombasa,Likoni
K-59763,"Wednesday, 11 October 2023",Chepkoech,Kiambu,Ruiru
K-17574,"Sunday, 10 September 2023",Ruto,Kajiado,Kiserian
K-62878,"Sunday, 21 May 2023",Mwangi,Nairobi,Kasarani
K-83094,"Saturday, 14 September 2024",Kipchoge,Nairobi,Karen
K-28919,"Saturday, 23 September 2023",Kibet,Kajiado,Kiserian
K-24224,"Friday, 04 October 2024",Auma,Mombasa,Mombasa Island
K-66797,"Thursday, 22 June 2023",Kosgei,Kajiado,Ongata Rongai
K-72306,"Tuesday, 03 September 2024",Karanja,Kisumu,Milimani
K-14737,"Sunday, 22 December 2024",Kimani,Nakuru,Milimani
K-41427,"Thursday, 25 April 2024",Ruto,Machakos,Kathiani
K-95139,"Friday, 26 January 2024",Wekesa,Mombasa,Bamburi
K-37643,"Saturday, 16 November 2024",Mohammed,Nakuru,Naka
K-92869,"Wednesday, 05 March 2025",Wanjiku,Nairobi,Karen
K-88786,"Sunday, 08 December 2024",Mutuku,Kisumu,Milimani
K-19069,"Friday, 08 November 2024",Odhiambo,Machakos,Machakos Town
K-17718,"Sunday, 02 June 2024",Njoroge,Kajiado,Ongata Rongai
K-45406,"Sunday, 09 March 2025",Mwangi,Kisumu,Milimani
K-56070,"Tuesday, 11 March 2025",Mutua,Machakos,Athi River
K-34996,"Friday, 31 May 2024",Kimutai,Mombasa,Shanzu
K-64512,"Thursday, 30 January 2025",Maina,Mombasa,Shanzu
K-80296,"Tuesday, 05 December 2023",Adhiambo,Kilifi,Malindi
K-89769,"Saturday, 01 June 2024",Wanjiru,Nyeri,Othaya
K-97047,"Wednesday, 01 May 2024",Ndegwa,Machakos,Matuu
K-44653,"Sunday, 08 September 2024",Kipkorir,Nairobi,Westlands
K-79848,"Sunday, 14 April 2024",Karanja,Mombasa,Shanzu
K-34631,"Wednesday, 25 September 2024",Wanjiru,Kilifi,Watamu
K-83314,"Tuesday, 09 May 2023",Mwangi,Kilifi,Mariakani
K-19791,"Monday, 02 September 2024",Wafula,Nairobi,Westlands
K-89735,"Monday, 15 July 2024",Muriuki,Uasin Gishu,Moiben
K-81696,"Monday, 16 October 2023",Chebet,Uasin Gishu,Eldoret
K-10162,"Wednesday, 02 August 2023",Mutuku,Kilifi,Mtwapa
K-54500,"Wednesday, 20 December 2023",Kibet,Machakos,Kathiani
K-62408,"Monday, 02 October 2023",Ali,Kilifi,Mtwapa
K-18117,"Wednesday, 23 October 2024",Omondi,Kisumu,Mamboleo
K-77246,"Thursday, 07 December 2023",Kimani,Kajiado,Ngong
K-67752,"Sunday, 30 June 2024",Wanyama,Nyeri,Karatina
K-66268,"Tuesday, 29 August 2023",Nyambura,Uasin Gishu,Ziwa
K-41896,"Tuesday, 23 May 2023",Wanyama,Nyeri,Naro Moru
K-14243,"Wednesday, 18 September 2024",Ndegwa,Kilifi,Mariakani
K-61468,"Monday, 20 November 2023",Muthoni,Kilifi,Mariakani
K-37298,"Saturday, 13 January 2024",Mohammed,Nakuru,Lanet
K-26755,"Sunday, 01 October 2023",Wanyama,Kilifi,Watamu
K-15175,"Thursday, 16 May 2024",Wanyama,Kilifi,Mtwapa
K-35046,"Monday, 16 December 2024",Ndegwa,Kiambu,Ruiru
K-88507,"Monday, 02 September 2024",Ndegwa,Nairobi,Nairobi CBD
K-98189,"Friday, 02 February 2024",Naliaka,Mombasa,Shanzu
